"DATE","DESCRIPTION","AMOUNT","CHECK #","STATUS"
"12/17/2025","COSTCO WHSE #0352 CORDOVA TN","-783.44",,"Posted"
"12/15/2025","CLAUDE.AI SUBSCRIPTION ANTHROPIC.COMCA","-21.95",,"Posted"
"12/14/2025","Jellycat Inc Minneapolis MN","-67.52",,"Posted"
"12/14/2025","ALSAC ST JUDE CHILDRENS 901-5782381 TN","-30.00",,"Posted"
"12/10/2025","AMAZON MKTPL*OH8IR0WK3 Amzn.com/billWA","-58.64",,"Posted"
"12/07/2025","WM SUPERCENTER #950 BARTLETT TN","-24.95",,"Posted"
"12/06/2025","DIM SUM KING MEMPHIS TN","-67.19",,"Posted"
"12/03/2025","STEWART BROTHERS DO IT CEBARTLETT TN","-9.20",,"Posted"
"11/29/2025","COSTCO GAS #0352 CORDOVA TN","-27.94",,"Posted"
"11/28/2025","CORDOVA FARMERS MARKET CODOVA TN","-42.50",,"Posted"
"11/28/2025","LE DELIGHTS CORDOVA TN","-50.00",,"Posted"
"11/27/2025","THE HOME DEPOT #0704 MEMPHIS TN","-7.57",,"Posted"
"11/25/2025","WM SUPERCENTER #950 BARTLETT TN","-7.65",,"Posted"
"11/18/2025","McDonalds 39008 190-1201626 TN","-11.18",,"Posted"
"11/17/2025","Jellycat Inc Minneapolis MN","-72.86",,"Posted"
"11/16/2025","ONLINE PAYMENT THANK YOU","225.51",,"Posted"
"11/15/2025","CLAUDE.AI SUBSCRIPTION ANTHROPIC.COMCA","-21.95",,"Posted"
"11/14/2025","AMAZON MKTPL*B834I98W1 Amzn.com/billWA","-97.52",,"Posted"
"11/13/2025","ALSAC ST JUDE CHILDRENS 901-5782381 TN","-30.00",,"Posted"
"11/11/2025","CHICK-FIL-A APP 866-232-2040 GA","-25.00",,"Posted"
"11/09/2025","IKEA MEMPHIS CORDOVA TN","-40.93",,"Posted"
"11/08/2025","LOWES #01187* BARTLETT TN","-49.00",,"Posted"
"11/06/2025","DIM SUM KING MEMPHIS TN","-54.27",,"Posted"
"11/01/2025","KROGER #456 BARTLETT TN","-4.26",,"Posted"
"10/30/2025","COSTCO GAS #0352 CORDOVA TN","-27.60",,"Posted"
"10/29/2025","ONLINE PAYMENT THANK YOU","1121.37",,"Posted"
"10/28/2025","THE HOME DEPOT #0704 MEMPHIS TN","27.41",,"Posted"
"10/28/2025","THE HOME DEPOT #0704 MEMPHIS TN","-30.70",,"Posted"
"10/28/2025","CROSSING BRIDGE RICE N Duluth GA","-66.86",,"Posted"
"10/28/2025","OLLIES BARGAIN OUTLET 327MEMPHIS TN","-5.47",,"Posted"
"10/28/2025","SHELL OIL 10011009007 SANDY SPRINGSGA","-15.69",,"Posted"
"10/25/2025","COSTCO GAS #1084 ATLANTA GA","-27.92",,"Posted"
"10/24/2025","SWEET HUT BAKERY &CAFE DORAVILLE GA","-17.22",,"Posted"
"10/24/2025","STARBUCKS 800-782-7282 WA","-9.34",,"Posted"
"10/24/2025","EP 675 NORTH HIGHLAND ATLANTA GA","-6.00",,"Posted"
"10/23/2025","COSTCO GAS #0352 CORDOVA TN","-11.97",,"Posted"
"10/22/2025","THE HOME DEPOT #0704 MEMPHIS TN","-58.11",,"Posted"
"10/21/2025","CHICK-FIL-A APP 866-232-2040 GA","-25.00",,"Posted"
"10/21/2025","CHICK-FIL-A APP 866-232-2040 GA","-25.00",,"Posted"
"10/16/2025","STEAMGAMES.COM 4259522985425-8899642 WA","-10.96",,"Posted"
"10/15/2025","H&M 0621MEMPHIS MEMPHIS TN","-165.78",,"Posted"
"10/15/2025","CLAUDE.AI SUBSCRIPTION ANTHROPIC.COMCA","-21.95",,"Posted"
"10/11/2025","CORDOVA FARMERS MARKET CODOVA TN","-16.12",,"Posted"
"10/09/2025","Letsgo Network Markham CD","-10.99",,"Posted"
"10/08/2025","GOLDEN CITY CHINESE CUIS CORDOVA TN","-297.60",,"Posted"
"10/08/2025","AUTOZONE #0335 CORDOVA TN","-38.40",,"Posted"
"10/06/2025","COSTCO GAS #0352 CORDOVA TN","-26.43",,"Posted"
"10/06/2025","COSTCO WHSE #0352 CORDOVA TN","-17.44",,"Posted"
"10/06/2025","KROGER #456 BARTLETT TN","-13.20",,"Posted"
"10/05/2025","STEAMGAMES.COM 4259522985425-8899642 WA","-26.33",,"Posted"
"10/03/2025","PYROSFIREFRESHPIZZA WWW.PYROSPIZZTN","-26.26",,"Posted"
"10/03/2025","JD 1227 MEMPHIS TN","-176.00",,"Posted"
"09/29/2025","McDonalds 39008 190-1201626 TN","-11.40",,"Posted"
"09/28/2025","ONLINE PAYMENT THANK YOU","145.77",,"Posted"
"09/27/2025","Amazon Tips*NJ9IY56N0 Amzn.com/billWA","-5.00",,"Posted"
"09/27/2025","STEWART BROTHERS DO IT CEBARTLETT TN","-10.09",,"Posted"
"09/25/2025","Amazon.com*TC6EN6A63 Amzn.com/billWA","-29.64",,"Posted"
"09/25/2025","GREAT CHINA FOOD MARKET MEMPHIS TN","-13.56",,"Posted"
"09/22/2025","TARGET 00010306 MEMPHIS TN","-16.45",,"Posted"
"09/20/2025","COSTCO WHSE #0352 CORDOVA TN","-17.55",,"Posted"
"09/20/2025","KROGER #456 BARTLETT TN","-1.44",,"Posted"
"09/18/2025","MULAN BUBBLE TEA CORDO Memphis TN","-7.13",,"Posted"
"09/18/2025","ST JUDE P2P STJUDE.ORG TN","-60.00",,"Posted"
"09/17/2025","ONLINE PAYMENT THANK YOU","365.57",,"Posted"
"09/15/2025","CLAUDE.AI SUBSCRIPTION ANTHROPIC.COMCA","-21.95",,"Posted"
"09/14/2025","COSTCO WHSE #0352 CORDOVA TN","-6.29",,"Posted"
"09/10/2025","Amazon.com*A46P68PN3 Amzn.com/billWA","-23.27",,"Posted"
"09/09/2025","KROGER #456 BARTLETT TN","-20.48",,"Posted"
"09/07/2025","KROGER #456 BARTLETT TN","-6.38",,"Posted"
"09/06/2025","Letsgo Network Markham CD","-4.69",,"Posted"
"09/04/2025","LOWES #01187* BARTLETT TN","-22.00",,"Posted"
"09/01/2025","McDonalds 39008 190-1201626 TN","-12.15",,"Posted"
"08/31/2025","SQ *WELCOME TO SWEET EYE Memphis TN","-15.47",,"Posted"
"08/31/2025","KROGER #456 BARTLETT TN","-13.12",,"Posted"
"08/30/2025","SAKURA JAPANESE RESTAURA GERMANTOWN TN","-72.06",,"Posted"
"08/28/2025","APPLE STORE R020 GERMANTOWN TN","-97.68",,"Posted"
"08/28/2025","WHOLEFDS GMT #10562 GERMANTOWN TN","-16.92",,"Posted"
"08/26/2025","WAL-MART #0950 MEMPHIS TN","-1.02",,"Posted"
"08/26/2025","BEST BUY 00001651 MEMPHIS TN","-22.94",,"Posted"
"08/24/2025","STARBUCKS 8007827282 800-782-7282 WA","-12.73",,"Posted"
"08/24/2025","STEAMGAMES.COM 4259522985425-8899642 WA","-13.98",,"Posted"
"08/19/2025","WOLFCHASE TOYOTA CORDOVA TN","-216.86",,"Posted"
"08/18/2025","ONLINE ACH PAYMENT THANK YOU","1751.01",,"Posted"
"08/18/2025","HILTON TAPESTRY WYLIE ATLANTA GA","242.39",,"Posted"
"08/18/2025","LOVE'S #0818 INSIDE HEFLIN AL","-7.97",,"Posted"
"08/17/2025","LAZ PARKING ECOMMERCE 860-522-7641 CT","-3.60",,"Posted"
"08/16/2025","COSTCO GAS #1084 ATLANTA GA","-23.37",,"Posted"
"08/16/2025","STARBUCKS 800-782-7282 WA","-22.46",,"Posted"
"08/16/2025","H MART DORAVILLE INC DORAVILLE GA","-69.09",,"Posted"
"08/16/2025","93582-ATLANTA AIRPORT INTATLANTA GA","-10.00",,"Posted"
"08/15/2025","POSMAN BOOKS AT PONCE ATLANTA GA","-30.49",,"Posted"
"08/15/2025","CHICK-FIL-A #04553 ATLANTA GA","-13.34",,"Posted"
"08/15/2025","MCDONALD'S F8005 ATLANTA GA","-9.00",,"Posted"
"08/15/2025","CVS/PHARMACY #03878 ATLANTA GA","-10.21",,"Posted"
"08/15/2025","CVS/PHARMACY #03878 ATLANTA GA","-17.20",,"Posted"
"08/15/2025","CVS/PHARMACY #03878 ATLANTA GA","-15.87",,"Posted"
"08/15/2025","LAZ PARKING ECOMMERCE 860-522-7641 CT","-5.60",,"Posted"
"08/15/2025","93582-ATLANTA AIRPORT INTATLANTA GA","-10.00",,"Posted"
"08/15/2025","THE DAILY HURT STREET ATLANTA GA","-23.96",,"Posted"
"08/14/2025","COSTCO GAS #0352 CORDOVA TN","-16.99",,"Posted"
"08/14/2025","HILTON TAPESTRY WYLIE ATLANTA GA","-267.39",,"Posted"
"08/14/2025","MCDONALD'S F8005 ATLANTA GA","-17.06",,"Posted"
"08/14/2025","PILOT_00602 BIRMINGHAM AL","-21.52",,"Posted"
"08/13/2025","WOLFCHASE TOYOTA CORDOVA TN","-99.03",,"Posted"
"08/09/2025","ONLINE ACH PAYMENT THANK YOU","591.32",,"Posted"
"08/09/2025","HILTON ADVPURCH8002367113MEMPHIS TN","-1011.08",,"Posted"
"08/09/2025","TEXAS ROADHOUSE #2207 MEMPHIS TN","-53.75",,"Posted"
"08/06/2025","WAL-MART #0950 MEMPHIS TN","-52.80",,"Posted"
"08/05/2025","Letsgo Network Markham CD","-4.69",,"Posted"
"08/03/2025","COSTCO WHSE #0352 CORDOVA TN","-133.25",,"Posted"
"08/03/2025","GREAT CHINA FOOD MARKET MEMPHIS TN","-27.98",,"Posted"
"07/26/2025","COSTCO WHSE #0352 CORDOVA TN","-32.48",,"Posted"
"07/24/2025","SQ *WELCOME TO SWEET EYE Memphis TN","-13.86",,"Posted"
"07/20/2025","CORDOVA FARMERS MARKET CODOVA TN","-11.96",,"Posted"
"07/20/2025","WM SUPERCENTER #950 BARTLETT TN","-10.01",,"Posted"
"07/20/2025","ALDI 70064 CORDOVA TN","-18.32",,"Posted"
"07/14/2025","WAL-MART #0950 BARTLETT TN","-8.25",,"Posted"
"07/14/2025","BARNES & NOBLE #2822 MEMPHIS TN","-19.70",,"Posted"
"07/13/2025","STEAMGAMES.COM 4259522985425-8899642 WA","-65.84",,"Posted"
"07/10/2025","COSTCO WHSE #0352 CORDOVA TN","-67.89",,"Posted"
"07/07/2025","MNAA PARKING 2023 NASHVILLE TN","-5.00",,"Posted"
"07/07/2025","SHELL OIL 10084990018 JACKSON TN","-33.09",,"Posted"
"07/05/2025","COSTCO GAS #0352 CORDOVA TN","-9.81",,"Posted"
"07/03/2025","ONLINE PAYMENT THANK YOU","403.46",,"Posted"
"07/03/2025","CHICK-FIL-A APP 866-232-2040 GA","-50.00",,"Posted"
"07/03/2025","TARGET 00010306 MEMPHIS TN","-19.70",,"Posted"
"07/03/2025","Letsgo Network Markham CD","-6.69",,"Posted"
"06/30/2025","WAL-MART #0950 BARTLETT TN","-10.63",,"Posted"
"06/28/2025","MCDONALD'S F39008 BARTLETT TN","-15.00",,"Posted"
"06/27/2025","COSTCO GAS #0352 CORDOVA TN","-34.38",,"Posted"
"06/27/2025","Amazon.com*NQ2IN5ES1 Amzn.com/billWA","-40.37",,"Posted"
"06/27/2025","Amazon.com*NQ6493E21 Amzn.com/billWA","-81.20",,"Posted"
"06/27/2025","AUTOZONE #0335 CORDOVA TN","-53.26",,"Posted"
"06/23/2025","tommy.com New York NY","-48.15",,"Posted"
"06/23/2025","CALVINKLEIN.COM 866-5130513 NY","-49.31",,"Posted"
"06/23/2025","KROGER #456 BARTLETT TN","9.87",,"Posted"
"06/23/2025","KROGER #456 BARTLETT TN","-13.71",,"Posted"
"06/23/2025","WM SUPERCENTER #950 BARTLETT TN","-1.08",,"Posted"
"06/22/2025","ONLINE PAYMENT THANK YOU","266.24",,"Posted"
"06/22/2025","KROGER #456 BARTLETT TN","-45.24",,"Posted"
"06/22/2025","WM SUPERCENTER #950 BARTLETT TN","-21.00",,"Posted"
"06/17/2025","PYROSFIREFRESHPIZZA WWW.PYROSPIZZTN","-42.66",,"Posted"
"06/12/2025","COSTCO GAS #0352 CORDOVA TN","-27.40",,"Posted"
"06/10/2025","McDonalds 39008 190-1201626 TN","-16.21",,"Posted"
"06/09/2025","COSTCO WHSE #0352 CORDOVA TN","-27.18",,"Posted"
"06/06/2025","AMAZON MKTPL*NH1B40GW2 Amzn.com/billWA","-45.78",,"Posted"
"06/01/2025","COSTCO WHSE #0352 CORDOVA TN","-56.96",,"Posted"
"06/01/2025","CORDOVA FARMERS MARKET CODOVA TN","-11.01",,"Posted"
"06/01/2025","ALDI 70064 CORDOVA TN","-8.31",,"Posted"
"05/28/2025","ONLINE PAYMENT THANK YOU","463.64",,"Posted"
"05/28/2025","GREAT CHINA FOOD MARKET MEMPHIS TN","-30.73",,"Posted"
"05/21/2025","AUTOMATIC PAYMENT - THANK YOU","116.70",,"Posted"
"05/19/2025","COSTCO WHSE #0352 CORDOVA TN","-66.15",,"Posted"
"05/19/2025","IKEA MEMPHIS CORDOVA TN","34.94",,"Posted"
"05/18/2025","KROGER #456 BARTLETT TN","-21.24",,"Posted"
"05/16/2025","IKEA MEMPHIS CORDOVA TN","-40.39",,"Posted"
"05/15/2025","COSTCO WHSE #0352 CORDOVA TN","-57.66",,"Posted"
"05/15/2025","ALDI 70064 CORDOVA TN","-9.33",,"Posted"
"05/15/2025","WAL-MART #0950 BARTLETT TN","-14.71",,"Posted"
"05/12/2025","Amazon.com*NW7QQ0QO2 Amzn.com/billWA","-41.90",,"Posted"
"05/09/2025","COSTCO WHSE #0352 CORDOVA TN","-28.52",,"Posted"
"05/09/2025","KROGER #456 BARTLETT TN","-19.53",,"Posted"
"05/07/2025","COSTCO WHSE #0352 CORDOVA TN","-46.11",,"Posted"
"05/05/2025","CIRCLE K # 03679 BARTLETT TN","-30.80",,"Posted"
"04/30/2025","COSTCO GAS #1116 FARRAGUT TN","-20.00",,"Posted"
"04/29/2025","GRUBHUB CAMPUS DINING 888-827-5055 CA","-14.63",,"Posted"
"04/28/2025","GRUBHUB CAMPUS DINING 888-827-5055 CA","-10.60",,"Posted"
"04/27/2025","ASIA KITCHEN KNOXVILLE TN","-16.00",,"Posted"
"04/27/2025","MAPCO 3320 MT JULIET TN","-26.07",,"Posted"
"04/22/2025","COSTCO GAS #0352 CORDOVA TN","-31.59",,"Posted"
"04/22/2025","COSTCO WHSE #0352 CORDOVA TN","-17.44",,"Posted"
"04/22/2025","KROGER #456 BARTLETT TN","-35.47",,"Posted"
"04/20/2025","LE DELIGHTS CORDOVA TN","-47.00",,"Posted"
"04/16/2025","ONLINE PAYMENT THANK YOU","475.13",,"Posted"
"04/16/2025","PYROSFIREFRESHPIZZA WWW.PYROSPIZZTN","-20.14",,"Posted"
"04/12/2025","AMAZON MKTPL*JR4II4W93 Amzn.com/billWA","-88.43",,"Posted"
"04/11/2025","COSTCO GAS #0352 CORDOVA TN","-26.92",,"Posted"
"04/11/2025","HOMEGOODS #0554 CORDOVA TN","-8.47",,"Posted"
"04/04/2025","CORDOVA FARMERS MARKET CODOVA TN","-28.45",,"Posted"
"04/04/2025","KROGER #426 MEMPHIS TN","-30.34",,"Posted"
"04/04/2025","HOMEGOODS #0554 CORDOVA TN","-16.37",,"Posted"
"04/01/2025","SQ *RYU Memphis TN","-43.00",,"Posted"
"03/24/2025","CHICK-FIL-A APP 866-232-2040 GA","-50.00",,"Posted"
"03/21/2025","AUTOMATIC PAYMENT - THANK YOU","85.86",,"Posted"
"03/20/2025","PYROSFIREFRESHPIZZA WWW.PYROSPIZZTN","-20.14",,"Posted"
"03/13/2025","COSTCO GAS #1116 FARRAGUT TN","-30.75",,"Posted"
"03/12/2025","ICHIBAN ASIAN CUISINE KNOXVILLE TN","-100.00",,"Posted"
"02/28/2025","STARBUCKS 800-782-7282 800-782-7282 WA","-5.43",,"Posted"
"02/26/2025","COSTCO GAS #0352 CORDOVA TN","-26.39",,"Posted"
"02/26/2025","COSTCO GAS #0352 CORDOVA TN","-0.44",,"Posted"
"02/23/2025","MDW DUNKIN DONUTS MT 2175CHICAGO IL","-7.80",,"Posted"
"02/23/2025","MDW M BURGER MT 6902131 CHICAGO IL","-24.57",,"Posted"
"02/23/2025","HUDSONNEWS ST887 SAN JOSE CA","-4.00",,"Posted"
"02/22/2025","Uniqlo USA LLC UNIQLO_US-PLEASANTON CA","43.99",,"Posted"
"02/22/2025","Uniqlo USA LLC UNIQLO_US-PLEASANTON CA","-93.48",,"Posted"
"02/06/2025","ONLINE PAYMENT THANK YOU","232.53",,"Posted"
"02/04/2025","VIRTUALINS* TRIAL OVER THEVIRTUALINSNC","-97.00",,"Posted"
"01/21/2025","OPENAI *CHATGPT SUBSCR OPENAI.COM CA","-21.95",,"Posted"
"01/08/2025","Letsgo Network Markham CD","-4.69",,"Posted"
"01/07/2025","UA INFLT 0164462906630HOUSTON TX","-29.99",,"Posted"
"01/05/2025","ONLINE PAYMENT THANK YOU","500.69",,"Posted"
"01/05/2025","STEAMGAMES.COM 4259522985425-8899642 WA","-4.39",,"Posted"
"01/04/2025","POKE WORLD MEMPHIS TN","-74.51",,"Posted"
"01/02/2025","WL *Steam Purchase 425-9522985 WA","-2.46",,"Posted"
"12/31/2024","COSTCO WHSE #0352 CORDOVA TN","-42.84",,"Posted"
"12/31/2024","USPS PO 4728320529 ELLENDALE TN","-7.64",,"Posted"
"12/30/2024","Adidas AMERICA, INC. Canton MA","-9.63",,"Posted"
"12/30/2024","GAP OUTLET US 2697 SOUTHAVEN MS","-38.51",,"Posted"
"12/30/2024","WL *STEAM PURCHASE 425-889-9642 WA","-10.96",,"Posted"
"12/30/2024","NikePOS_US Southaven MS","-22.46",,"Posted"
"12/29/2024","WL *STEAM PURCHASE 425-889-9642 WA","-10.63",,"Posted"
"12/29/2024","STEAMGAMES.COM 4259522985425-8899642 WA","-3.01",,"Posted"
"12/29/2024","EAST MEETS WEST GERMANTOWN TN","-117.13",,"Posted"
"12/25/2024","APPLE.COM/US 800-676-2775 CA","231.61",,"Posted"
"12/24/2024","KROGER #456 BARTLETT TN","-11.84",,"Posted"
"12/21/2024","OPENAI *CHATGPT SUBSCR HTTPSOPENAI.CCA","-21.95",,"Posted"
"12/19/2024","COSTCO GAS #0352 CORDOVA TN","-23.48",,"Posted"
"12/19/2024","H&M 0621MEMPHIS MEMPHIS TN","-71.32",,"Posted"
"12/17/2024","APPLE.COM/US 800-676-2775 CA","-231.61",,"Posted"
"12/17/2024","SHELL OIL 10015396004 KNOXVILLE TN","-23.30",,"Posted"
"12/17/2024","KFTEAUSA_254 KNOXVILLE TN","-21.18",,"Posted"
"12/15/2024","ONLINE PAYMENT THANK YOU","509.44",,"Posted"
"12/15/2024","Riot* LN48YPNLK72L 866-373-9211 CA","-24.02",,"Posted"
"12/14/2024","GOODSTOP #4211 KNOXVILLE TN","-8.17",,"Posted"
"12/13/2024","OTC BRANDS *OTC BRANDS 800-2280475 NE","-30.16",,"Posted"
"12/12/2024","UNIVERSITY LIQUORS KNOXVILLE TN","-13.10",,"Posted"
"12/12/2024","KROGER #848 KNOXVILLE TN","-11.45",,"Posted"
"12/11/2024","McDonalds 2495 186-5637414 TN","-2.39",,"Posted"
"12/11/2024","MCDONALD'S F2495 KNOXVILLE TN","-2.39",,"Posted"
"12/08/2024","COSTCO GAS #1116 FARRAGUT TN","-27.39",,"Posted"
"12/08/2024","COSTCO WHSE #1116 FARRAGUT TN","-42.71",,"Posted"
"12/08/2024","ICHIBAN ASIAN CUISINE KNOXVILLE TN","-80.00",,"Posted"
"12/06/2024","ASIA KITCHEN KNOXVILLE TN","-27.00",,"Posted"
"12/06/2024","ARAMARK UNIV OF TN MAIN KNOXVILLE TN","-12.72",,"Posted"
"12/06/2024","CSC SERVICEWORK KNOXVILLE TN","-2.50",,"Posted"
"12/03/2024","GRUBHUB CAMPUS DINING 888-827-5055 CA","-11.90",,"Posted"
"12/02/2024","ARAMARK UNIV OF TN MAIN KNOXVILLE TN","-10.27",,"Posted"
"12/02/2024","MCDONALD'S F2495 KNOXVILLE TN","-16.58",,"Posted"
"12/01/2024","SHELL OIL 10084991016 LEBANON TN","-16.09",,"Posted"
"11/30/2024","PETALS OF A PEONY CORDOVA TN","-46.00",,"Posted"
"11/30/2024","KROGER #456 BARTLETT TN","-7.54",,"Posted"
"11/27/2024","COSTCO WHSE #0352 CORDOVA TN","-27.43",,"Posted"
"11/27/2024","COSTCO GAS #1116 FARRAGUT TN","-18.98",,"Posted"
"11/23/2024","WAL-MART #2065 KNOXVILLE TN","-31.41",,"Posted"
"11/23/2024","SUNRISE SUPERMARKET KNOXVILLE TN","-9.07",,"Posted"
"11/21/2024","OPENAI *CHATGPT SUBSCR HTTPSOPENAI.CCA","-21.95",,"Posted"
"11/20/2024","ARAMARK UNIV OF TN MAIN KNOXVILLE TN","-10.27",,"Posted"
"11/19/2024","ARAMARK UNIV OF TN MAIN KNOXVILLE TN","-10.27",,"Posted"
"11/16/2024","ONLINE PAYMENT THANK YOU","685.66",,"Posted"
"11/15/2024","ARAMARK UNIV OF TN MAIN KNOXVILLE TN","-10.27",,"Posted"
"11/15/2024","GRUBHUB CAMPUS DINING 888-827-5055 CA","-5.95",,"Posted"
"11/14/2024","SHELL OIL 10015396004 KNOXVILLE TN","-33.81",,"Posted"
"11/14/2024","GRUBHUB CAMPUS DINING 888-827-5055 CA","-11.90",,"Posted"
"11/13/2024","GRUBHUB CAMPUS DINING 888-827-5055 CA","-11.90",,"Posted"
"11/12/2024","IN *BARTLETT LANDSCAPE SP901-8703594 TN","-66.00",,"Posted"
"11/12/2024","MCDONALD'S F2495 KNOXVILLE TN","-10.15",,"Posted"
"11/11/2024","ASIA KITCHEN KNOXVILLE TN","-35.20",,"Posted"
"11/11/2024","SUNRISE SUPERMARKET KNOXVILLE TN","-24.12",,"Posted"
